"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-25","0.00","P,,0,0800","0.0","P,,0","87",",,0","62",",,0","70",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-26","0.03",",,0,0800","0.0","P,,0","87",",,0","67",",,0","67",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-27","0.46",",,0,0800","0.0","P,,0","74",",,0","58",",,0","65",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-28","0.25",",,0,0800","0.0","P,,0","78",",,0","55",",,0","60",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-29","0.21",",,0,0800","0.0","P,,0","72",",,0","58",",,0","72",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-30","0.05",",,0,0800","0.0","P,,0","83",",,0","69",",,0","73",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-07-01","0.36",",,0,0800","0.0","P,,0","74",",,0","62",",,0","64",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-07-02","0.00","T,,0,0800","0.0","P,,0","73",",,0","58",",,0","64",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-07-03","0.83",",,0,0800","0.0","P,,0","71",",,0","63",",,0","65",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-07-04","0.15",",,0,0800","0.0","P,,0","81",",,0","65",",,0","67",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-07-05","0.00","P,,0,0800","0.0","P,,0","75",",,0","61",",,0","68",",,0,0800"
